Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"MILK,BUTTERMILK,DRIED",49,2.97,0.4
"MILK,CND,COND,SWTND",54.40000153,27.16,0.6
"MILK,CND,EVAP,WO/ VIT A",10.03999996,74.04,0.5
"MILK,CND,EVAP,NONFAT",11.35000038,79.4,0
"MILK,CHOC,FLUID,COMM,",9.539999962,82.3,0.2
"MILK,CHOC,FLUID,COMM,RED FAT",9.550000191,82.17,0.2
"MILK,CHOC,FLUID,COMM,LOWFAT",9.93999958,84.5,0.1
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",9.670000076,82.57,0.2
"MILK,GOAT,FLUID",4.449999809,87.03,0.3
"MILK,HUMAN,MATURE,FLUID",6.889999866,87.5,0.3
"MILK,INDIAN BUFFALO,FLUID",0,83.39,0
"MILK,SHEEP,FLUID",0,80.7,0
"MILK SHAKES,THICK CHOC",20.85000038,72.2,0.2
"MILK SHAKES,THICK VANILLA",17.75,74.45,0.2
"WHEY,ACID,FLUID",5.119999886,93.42,0
"WHEY,ACID,DRIED",73.44999695,3.51,0
"WHEY,SWEET,FLUID",5.139999866,93.12,0
"WHEY,SWEET,DRIED",74.45999908,3.19,0.1
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.659999847,87.9,0.2
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.039999962,85.07,0.2
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.679999828,85.23,0.2
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.80000019,79,0.1
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.63999939,75.3,0.1
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.04999924,74.48,0.1
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",0,74.1,0
"EGG,WHOLE,RAW,FRESH",0.769999981,75.84,0.3
"EGG,WHITE,RAW,FRESH",0.709999979,87.57,0
"EGG,YOLK,RAW,FRSH",0.560000002,52.31,0.7
"EGG,YOLK,RAW,FROZEN",0.50999999,56.2,0.7
"EGG,YOLK,RAW,FRZ,SUGARED",0,51.25,0
"EGG,WHL,CKD,FRIED",0.829999983,69.13,5.6
"EGG,WHL,CKD,HARD-BOILED",1.120000005,74.62,0.3
"EGG,WHOLE,COOKED,OMELET",0.649999976,75.87,4.5
"EGG,WHL,CKD,POACHED",0.769999981,75.54,0.3
"EGG,WHL,CKD,SCRMBLD",1.730000019,73.15,4
"EGG,WHOLE,DRIED",3.079999924,3.1,1.2
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",0,1.87,0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.170000076,14.62,0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.46999979,8.54,0
"EGG,YOLK,DRIED",3.599999905,2.95,1.5
"EGG,DUCK,WHOLE,FRESH,RAW",0.930000007,70.83,0.4
"EGG,GOOSE,WHOLE,FRESH,RAW",0.939999998,70.43,0.4
"EGG,QUAIL,WHOLE,FRESH,RAW",0.409999996,74.35,0.3
"EGG,TURKEY,WHL,FRSH,RAW",0,72.5,0
"EGG SUBSTITUTE,FROZEN",3.200000048,73.1,0.2
"EGG SUBSTITUTE,LIQUID",0.639999986,82.75,0.8
"EGG SUBSTITUTE,POWDER",21.79999924,3.86,0.4
"BUTTER,WITHOUT SALT",0.059999999,17.94,7
"CHEESE,PARMESAN,SHREDDED",0,25,0
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",0.50999999,39.16,2.7
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",0,42.31,0
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.429999828,43.15,0
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",0,47.65,0
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",5.090000153,90.8,0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",0,87.71,0
"MILK,CND,EVAP,W/ VIT A",0,74.04,0
"MILK,DRY,NONFAT,REG,W/ VIT A",51.97999954,3.16,0.1
"MILK,DRY,NONFAT,INST,WO/ VIT A",52.18999863,3.96,0
"CHEESE,GOAT,HARD TYPE",2.170000076,29.01,3
"CHEESE,GOAT,SEMISOFT TYPE",2.539999962,45.52,2.5
"CHEESE,GOAT,SOFT TYPE",0.889999986,60.75,1.8
"EGG,YOLK,RAW,FRZ,SALTED",0,50.8,0
"CHEESE SUB,MOZZARELLA",23.67000008,47.36,1
CHEESE FONDUE,0,61.61,0
"CHEESE SAU,PREP FROM RECIPE",0,66.86,0
"CHEESE,MEXICAN,QUESO ANEJO",4.630000114,38.06,2.5
"CHEESE,MEXICAN,QUESO ASADERO",2.869999886,42.16,2.4
"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.559999943,39.13,2.5
"CHEESE,LOFAT,CHEDDAR OR COLBY",0.519999981,63.1,0.6
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",0.49000001,38.98,2.7
"EGG,WHOLE,RAW,FROZEN",0,75.85,0
"EGG,WHITE,RAW,FROZEN",0,88.55,0
"EGG,WHITE,DRIED",5.400000095,5.8,0
"SOUR CREAM,REDUCED FAT",0.300000012,71,0.7
"SOUR CREAM,LIGHT",0.219999999,78.1,0.5
"SOUR CREAM,FAT FREE",0.389999986,80.6,0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",0.579999983,48.2,1.5
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,87.43,0
"PARMESAN CHS TOPPING,FAT FREE",1.5,8.6,0.4
"CHEESE,CREAM,FAT FREE",5.480000019,71.87,0.2
"YOGURT,CHOC,NONFAT MILK",14.97000027,71.57,0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,6.699999809,51.5,0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,8.199999809,51.5,0
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,6.699999809,58,0
KRAFT VELVEETA PAST PROCESS CHS SPRD,8.100000381,45.8,0
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,8.5,51.3,0
KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.400000095,76.2,0
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,7.199999809,77.7,0
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),17.39999962,76.5,0
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.60000038,73.3,0
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),17.20000076,74.8,0
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),7.699999809,86,0
"CREAM,HALF & HALF,FAT FREE",5,86,0.2
REDDI WIP FAT FREE WHIPPED TOPPING,16,66.44,0.3
