Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",0.400000006,74.8,0
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",0.300000012,74.3,0
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",0.600000024,74,0
"LOUIS RICH,TURKEY HAM (10% H2O)",0.899999976,73.1,0
"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",0,50.7,0
"LOUIS RICH,TURKEY SALAMI",0.400000006,71.9,0
"LOUIS RICH,TURKEY SALAMI COTTO",0.400000006,71.4,0
"LOUIS RICH,TURKEY SMOKED SAUSAGE",2.799999952,69.1,0
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",2.49000001,59.06,0
"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",0,69.1,0
"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",0,68.2,0
"CARL BUDDIG,SMOKED SLICED BF",0,69.4,0
"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",0,68.2,0
"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",0,69.8,0
"CARL BUDDIG,SMOKED SLICED HAM",0,67,0
HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,0,52.6,0
"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",1.25999999,65.72,0
HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,0,47.84,0
HORMEL WRANGLER BEEF FRANKS,1.669999957,56.67,0
"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",0,76.3,0
"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",0,58.66,0
"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",0,71.5,1.8
"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",0,55.5,0
"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",0,64.92,0
"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",0,51.7,0
"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",1.25999999,65.72,0
BRATWURST  VEAL  CKD,0,53.51,0
LIVERWURST SPRD,1.649999976,53.53,0
ROAST BF SPRD,0.709999979,61.7,0
SALAMI  PORK  BF  LESS NA,6.210000038,33.74,0
SAUSAGE  ITALIAN  SWT  LINKS,0,71.6,0
SAUSAGE  POLISH  BF W/ CHICK  HOT,0,55.2,0
SAUSAGE  POLISH  PORK & BF  SMOKED,0,56.58,0
SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,0.109999999,56.11,0
SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,0.119999997,36.2,0
SAUSAGE  TURKEY  BRKFST LINKS  MILD,0,63.12,1.6
SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,0,55.31,0
BACON & BF STKS,0.800000012,21.6,1.6
BRATWURST  BF & PORK  SMOKED,0,56.65,0
"BRATWURST,CHICK,CKD",0,70.28,0
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,1.570000052,65.89,0
PASTRAMI  BF  98% FAT-FREE,0,74.3,0
SALAMI  ITALIAN  PORK,1.200000048,34.6,0
SAUSAGE  ITALIAN  TURKEY  SMOKED,3.200000048,68.5,0
SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,1.899999976,60.5,0
SAUSAGE  TURKEY  HOT  SMOKED,3.200000048,68.5,0.8
"YACHTWURST,W/ PISTACHIO NUTS,CKD",0,58.2,0
BEERWURST  PORK & BF,0,56.71,1.6
CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,0.200000003,76.73,0
CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,0.100000001,76.71,0
"KIELBASA,POLISH,TURKEY & BF,SMOKED",0,62,0
OVEN-ROASTED CHICK BREAST ROLL,0.430000007,72.98,0.5
BOLOGNA  PORK & TURKEY  LITE,0,64.87,0
BOLOGNA  PORK  TURKEY & BF,1.350000024,45.37,0
HAM  HONEY  SMOKED  CKD,0,69.94,0
"FRANKFURTER,PORK",0,59.85,0
MACARONI & CHS LOAF  CHICK  PORK & BF,0,57.63,0
SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,0,40.5,1.3
PATE  TRUFFLE FLAVOR,0,51.8,0
"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",0,73.5,0
TURKEY  WHITE  ROTISSERIE  DELI CUT,4,72,0
FRANKFURTER  BF  HTD,3.390000105,52.18,1.8
FRANKFURTER  MEAT  HTD,0,57.82,0
FRANKFURTER  MEAT,0,56.31,0
"SCRAPPLE,PORK",0.200000003,62.47,3.4
"BOLOGNA,CHICK,TURKEY,PORK",0,55.25,0
"PORK SAUSAGE,PRE-COOKED",0,47.97,2.1
"BEEF SAUSAGE,PRE-COOKED",0,43.75,2.1
"TURKEY SAUSAGE,FRSH,RAW",0,70.42,0
"BEEF SAUSAGE,FRSH,CKD",0,51.12,1.1
"PORK & TURKEY SAUSAGE,PRE-COOKED",0,50.68,5.7
"TURKEY SAUSAGE,FRSH,CKD",0,65.06,1.5
"BOLOGNA,CHICK,PORK,BF",0,56.42,0.1
"BOLOGNA,CHICK,PORK",0,50.85,0.6
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",15.68999958,2.12,5.2
"CEREALS RTE,OATS,CORN PUFFED MIXTURE,PRESWEETENED",39,1.3,1.4
"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",41.65000153,2.98,0.5
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",27,3,0.9
"CEREALS RTE,QUAKER,CAP'N CRUNCH",43.84000015,2.5,0.3
"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",44.72999954,2.5,0.5
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",33.11999893,2.5,0.5
"CEREALS RTE,GENERAL MILLS,CHEERIOS",4.019999981,3.76,3.2
"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",33.95999908,2.81,0.1
"CEREALS RTE,RICE,PUFFED,PRESWEETENED,W/ COCOA,SINGLE BRAND",44,2.9,0.8
"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",43.33000183,2.3,4.9
"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",20.75,2,0.3
"CEREALS RTE,GENERAL MILLS,CORN CHEX",10,2.5,0.4
"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",10.5,3.76,0
"CEREALS RTE,CORN FLAKES,LO NA",6.110000134,3,0.3
"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",32,3,3.2
"CEREALS RTE,RALSTON CRISPY RICE",7.650000095,3.62,0
"CEREALS RTE,GENERAL MILLS,WHEATIES RAISIN BRAN",33,7,1.4
"CEREALS RTE,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",17,3,1.6
"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",18.89999962,3.7,1.4
"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",45,3,0.1
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,ORIGINAL",21,6,1.5
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",39,2.9,0
"CEREALS RTE,RICE,PUFFED,PRESWEETENED,FRUIT FLAV,SINGLE BRAND",44,3,0.2
"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",33.33000183,2.2,3.9
"CEREALS RTE,GRANOLA,HOMEMADE",20,5.4,8.7
"CEREALS RTE,KRAFT,POST GRAPE-NUTS CRL",12.60999966,3,1.5
"CEREALS RTE,WHEAT&MALT BARLEY FLAKES",17.60000038,3.2,1.5
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",32.13999939,2.2,2.1
"CEREALS RTE,CORN&OAT FLOURS,PUFFED PRESWEETENED,SINGLE BRAND",38.29999924,1.5,0.7
"CEREALS RTE,QUAKER,KING VITAMAN",20.18000031,2,0.3
"CEREALS RTE,GENERAL MILLS,KIX",9.760000229,2.79,0.6
"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",19.47999954,4.3,1.4
"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",39.93000031,3.17,1.2
"CEREALS RTE,BRAN,MALTED FLR,SINGLE BRAND",24.39999962,2.8,1.6
"CEREALS RTE,QUAKER,100% NAT GRANOLA OATS & HONEY",25.79000092,2.21,1.3
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",30,2.2,0.8
"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",13.30000019,3,0.6
"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",43.36000061,2,0.4
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",29.89999962,8.77,2.3
"CEREALS RTE,KRAFT,POST RAISIN BRAN CRL",28.05999947,8.13,1.9
"CEREALS RTE,GENERAL MILLS,RICE CHEX",7.409999847,2.5,0.9
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",9.460000038,4.13,0
"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",0,3.91,0.1
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",12.89999962,3,0.5
"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",47.90000153,3,0.1
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",38.72000122,3.27,0.2
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",56,2.5,1.2
"CEREALS RTE,WHEAT,PUFFED,PRESWEETENED,SINGLE BRAND",53.90000153,2.9,0.4
"CEREALS RTE,RALSTON TASTEEOS",4.639999866,3.68,1.3
"CEREALS RTE,CORN FLAKES,PLN,SINGLE BRAND",6.5,3.5,0.3
"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",16.67000008,2.67,0.6
"CEREALS RTE,GENERAL MILLS,TRIX",43.33000183,2,3.4
"CEREALS RTE,WAFFELOS",0,2.5,0
"CEREALS RTE,WHL WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",23.07999992,3.82,1.5
"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",10,2.5,1.7
"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",43.59999847,0.9,0.2
"CEREALS RTE,WHEAT GERM,TSTD,PLN",7.800000191,5.6,4
"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",24.85000038,3.4,0
"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",34.38000107,2.05,13.3
"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",20.69000053,2.5,1.3
"CEREALS RTE,GENERAL MILLS,TEAM CHEERIOS",37.04000092,2.38,0
"CEREALS RTE,GENERAL MILLS,WHEATIES",13.32999992,2.59,3
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",0.639999986,10,0.3
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",0.100000001,85.35,0
"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",0.289999992,8.44,0.3
"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP W/H2O",0.059999999,82.42,0
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",2.130000114,7.6,1.2
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,PREP W/H2O",0.409999996,82.26,0.2
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",0.270000011,7.3,0
"CEREALS,QUAKER,CRNGRIT,INST,CNTRYBCN(IMTATN BCN BIT)PRPW/H2O",0.07,82.2,0
"CEREALS,CRM OF RICE,DRY",0.119999997,10.5,0.1
"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",0.02,87.5,0
"CEREALS,CREAM OF WHEAT,REG,DRY",0.200000003,10.9,0.5
"CEREALS,CREAM OF WHEAT,REG,CKD W/ H2O,WO/ SALT",0.029999999,87.1,0.1
"CEREALS,CREAM OF WHEAT,QUICK,DRY",0.400000006,10.4,0.5
"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,WO/ SALT",0,86.6,0
"CEREALS,CREAM OF WHEAT,INST,DRY",0.400000006,10.4,0.5
"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",0.07,84.4,0.1
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",0,10.7,0
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",0,82.1,0
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",0,8,0
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",0,78.3,0
"CEREALS,FARINA,ENR,DRY",0.270000011,10.5,0.3
"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",0.039999999,87.9,0
"CEREALS,MALTEX,DRY",0.660000026,7.5,2.8
"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",0.129999995,81,0.6
"CEREALS,MALT-O-MEAL,PLN,DRY",1.100000024,9.8,0
"CEREALS,MAYPO,DRY",34.04999924,6.3,3
"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",6.260000229,82.7,0.6
"CEREALS,OATS,REG & QUICK & INST,NOT FORT,DRY",0.99000001,10.84,2
"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,WO/ SALT",0.270000011,83.61,0.3
"CEREALS,OATS,INST,FORT,PLN,DRY",1.50999999,10.37,1.9
"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",0.460000008,84.03,0.4
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",35.52999878,6.3,2.2
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,PREP W/ BOILING H2O",8.100000381,78.56,0.5
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",33.70000076,6.56,2
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",9.420000076,73.8,0.5
"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",30.43000031,6.87,2
"CEREALS,QUAKER,INST OAT, MAPLE & BR SUGAR,PREP W/ BOIL H2O",8.100000381,75.13,0.5
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",36.31000137,8.23,2.4
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",9.670000076,75.49,0.6
"CEREALS,RALSTON,DRY",0,9.9,0
"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",0,86.1,0
"CEREALS,ROMAN MEAL,PLN,DRY",0,9.1,0
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",0,82.7,0
"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",42.79999924,1.7,1.4
"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",38,2.63,0.8
"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",47,2.5,0.6
"CEREALS,WHEATENA,DRY",1.600000024,6.5,2.3
"CEREALS,WHEATENA,CKD W/ H2O",0,85.4,0
"CEREALS,WHL WHEAT HOT NAT CRL,DRY",0.419999987,9.9,2.4
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",0.079999998,83.6,0.4
"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",1.360000014,3.69,2
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",0.939999998,6.1,1.4
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",0.899999976,4.1,1.5
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",0,81.5,0
"CEREALS RTE,RICE,PUFFED,FORT",0,3,0
"CEREALS RTE,WHEAT,PUFFED,FORT",0,3,0
"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",0.639999986,10,0.3
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",0.639999986,10,0.3
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",0.639999986,10,0.3
"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",0.100000001,85.35,0
"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",0.100000001,85.35,0
"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",0,85.3,0
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",0.100000001,85.35,0
"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",0.100000001,85.35,0
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",0.100000001,85.35,0
"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",0.100000001,85.35,0
"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",0.02,87.5,0
"CEREALS,CRM OF WHEAT,REG,CKD W/ H2O,W/ SALT,(WHEAT)",0.029999999,87.1,0.1
"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,W/ SALT",0,86.6,0
"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",0.07,84.4,0.1
"CEREALS,FARINA,UNENR,DRY",0,10.5,0
"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",0.039999999,87.9,0
"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",0.129999995,81,0.6
"CEREALS,MALT-O-MEAL,CHOC,DRY",24.39999962,6.7,0
"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",6.260000229,82.7,0.6
"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",0.270000011,83.61,0.3
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",0,82.7,0
"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",0.25,85.4,0.4
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",0.079999998,83.6,0.4
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",0,81.5,0
"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",0,86.1,0
"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",28,3.5,1.3
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",34.54999924,2.59,2.4
"CEREALS RTE,WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",22.29999924,6,1
"CEREALS RTE,CORN,RICE,WHEAT,OAT,PRESWEETENED,W/FRUIT&ALMONDS",20.79999924,7.2,8.6
"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",40,2.67,6.3
"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W/RAISINS",28.10000038,5.84,1.5
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",0.600000024,11.07,3.3
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W/ ALMONDS",29.09000015,2.86,1.9
"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",47,3.42,0.6
"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",46.5,2,0.6
"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",26.12000084,4.3,0
"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",42.97000122,2.75,0.2
"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA W/ ALMONDS",20.42000008,1.37,4.4
"CEREALS RTE,QUAKER,QUAKER OATMEAL SQUARES",16.10000038,2.75,2.1
"CEREALS RTE,QUAKER,QUAKER CINN OATMEAL SQUARES",21.19000053,2.5,1.7
"CEREALS RTE,QUAKER,QUAKER OAT BRAN CRL",16.34000015,4,2.1
"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",39.25,2.68,0.7
"CEREALS RTE,QUAKER,100% NAT CRL W/ OATS,HONEY,& RAISINS",29.87000084,3.54,1.7
"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",25.03000069,2.5,1.2
"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",33.59999847,3.5,1.3
"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",0.870000005,6.73,0
"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND B",46.66999817,2.5,1.8
"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM VAR,DRY",31.20000076,6.39,2
"CEREALS,QUAKER,INST OATMEAL,FRT& CRM VAR,PREP W/ BOILING H2O",5.659999847,82.93,0.4
"CEREALS,QUAKER,INST OATMEAL,RAISINS,DATES & WALNUTS,DRY",0,8.12,0
"CEREALS,QUAKER,INST OATMEAL,LO NA,DRY",1.090000033,9.09,3.2
"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",0.300000012,11.66,0
"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",1.429999948,8.9,0
"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",0.660000026,9.65,0
"CEREALS,QUAKER,OATMEAL,INST,LO NA,PREP W/H2O",0,76.98,0
"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,PREP W/H2O",0,70.63,0
"CEREALS,QKR,OAT BRAN,PREP W/H2O,NO SALT",0,89.07,0
"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,NO SALT",0,86.99,0
"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,PREP W/H2O",0.159999996,82.49,0
"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",31.11000061,2.07,2.3
"CEREALS,OAT BRAN,QKR,QKR/MOTHER'S OAT BRAN,PREP W/H2O,SALT",0,88.98,0
"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,SALT",0,86.87,0
"CEREALS RTE,JUST RIGHT W/ CRUNCHY NUGGETS",21.20000076,3.2,2.9
"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",30.90999985,2.15,0.7
"CEREALS RTE,GENERAL MILLS,FIBER ONE",0,3.19,0.8
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,RAISIN",32.72999954,4.73,1.8
"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",11,2.56,0.2
"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",34.54999924,8.75,1.9
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,NO SALT",0,83.58,0
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,SALT",0,83.44,0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN W/ EX FIBER",0.370000005,3,1.9
"CEREALS RTE,APPL CINN SQUARES MINI-WHEATS",21.20000076,9.5,1.5
"CEREALS RTE,KELLOGG,KELLOGG'S COMPLETE OAT BRAN FLAKES",20,3,1.9
"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",11.52999973,3.35,0
"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",27.27000046,7.54,2.4
"CEREALS RTE,GENERAL MILLS,BASIC 4",25.45000076,4,3.2
"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",43.33000183,2.3,4.7
"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",42.86000061,2.2,2
"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",46.66999817,2.02,4.9
"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",6.670000076,2.3,0
"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",43.33000183,2.02,2.8
"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",46.66999817,1.8,5.1
"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",33.15000153,2.64,7.8
"CEREALS RTE,GENERAL MILLS,BOO BERRY",46.66999817,2.02,3.7
"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",30,2.3,4.9
"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",33.40999985,6.72,2.9
"CEREALS RTE,GENERAL MILLS,KABOOM",20,2.37,1
"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT FRUIT & NUT",25,5.9,1
"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",29,3.5,2.1
"CEREALS RTE,KELLOGG,KELLOGG'S MUESLIX",31,8.7,2.9
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN MINI-WHEATS",22,7.8,1.9
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",31,3.5,1.1
"CEREALS RTE,KELLOGG,KELLOGG'S STRAWBERRY MINI-WHEATS",18.60000038,7.5,1.2
"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES",1.860000014,3,2.2
"CEREALS RTE,QUAKER,QUAKER APPL ZAPS",46.99000168,2.5,0
"CEREALS RTE,QUAKER,QUAKER COCOA BLASTS",48.29000092,2.5,0.5
"CEREALS RTE,QUAKER,QUAKER FRUITANGY OH!S",43.25,2.5,1.5
"CEREALS RTE,QUAKER,QUAKER MARSHMLLW SAFARI",47.27000046,2.1,1.7
"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",47.47000122,2.22,1.3
"CEREALS RTE,OAT,CORN&WHEAT SQUARES,PRESWEETENED,MAPLE FLAV",35.45000076,2.5,2.3
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",33,3,0.2
"CEREALS,QUAKER,HOMINY GRITS,WHITE,QUICK,DRY",1,10.48,0
"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",1.080000043,11.74,0
"CEREALS,QUAKER,HOMINY GRITS,WHITE,REG,DRY",1,10.48,0
"CEREALS,QUAKER,FARINA,ENR CINN FLAVOR,DRY",0.289999992,12.14,0
"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANT CRL",28,3,0.8
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,BITE SIZE",20.10000038,6,1.5
"CEREALS RTE,KRAFT,POST BANANA NUT CRUNCH CRL",20.39999962,4.5,0
"CEREALS RTE,KRAFT,POST BLUEBERRY MORNING CRL",20.79999924,7.2,0
"CEREALS RTE,KRAFT,POST BRAN FLAKES",18.89999962,3.7,0
"CEREALS RTE,KRAFT,POST COCOA PEBBLES CRL",44,2.9,0
"CEREALS RTE,KRAFT,POST FRUITY PEBBLES CRL",44,3,0
"CEREALS RTE,KRAFT,POST FRSTD ALPHA-BITS CRL",39,1.3,0
"CEREALS RTE,KRAFT,POST MARSHMLLW ALPHA-BITS CRL",43.5,1.5,0
