year,address.city,address.state,business.name,industry.division,industry.major_group
2003,PINETOPS,NC,A B B Inc,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2003,Harlan,KY,Harlan Nursing Home Inc,Services,Health Services
2003,GIDEON,MO,GIDEON CARE CENTERS INC,Services,Health Services
2003,Bradely,IL,Wal-Mart Store IL Bradley,Retail Trade,General Merchandise Stores
2003,Gulfport,MS,MMC Materials Inc,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Fort Lauderdale,FL,Richmond Healthcare Inc,Services,Health Services
2003,Centennial,CO,CHRISTIAN LIVING CAMPUS-JOHNSO,Services,Health Services
2003,Mc Kees Rocks,PA,Standard Forged Products Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Charlotte,NC,Woodlawn Suites Hotel,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places"
2003,Rochester,MI,Mercy Services Aging Non-Proft,Services,Health Services
2003,Portales,NM,Mike Tucker,Construction,Building Construction General Contractors And Operative Builders
2003,CHESTERFIELD,MO,ST LUKES EPISCOPAL,Services,Health Services
2003,Benton Harbor,MI,Dawson Manufacturing Co,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Fontana,CA,Orbital Holdings Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,RANSON,WV,Universal Forest Products,Wholesale Trade,Wholesale Trade-durable Goods
2003,IRVING,TX,North Texas AAA Pallet Company,Manufacturing,"Lumber And Wood Products, Except Furniture"
2003,Weston,WV,HK Castings Inc,Wholesale Trade,Wholesale Trade-durable Goods
2003,Grand Rapids,MI,Two Men A Trck of Grnd Rapids,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,BOYNTON BEACH,FL,MICHAELS NURSERY LLC,"Agriculture, Forestry, And Fishing",Agricultural Production Crops
2003,Agawam,MA,Belt Technologies Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,New York,NY,Transel Elevators Inc,Services,Miscellaneous Repair Services
2003,ARLINGTON,TX,"American Masonry Supply, Inc.",Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Saint Paul,MN,Resistance Technology Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
